Index,State,Population,AreaInSqKm,DensityPerSqKm
1,Uttar Pradesh,199812341,240928,828
2,Maharashtra,112372972,307713,365
3,Bihar,103804637,94163,1102
4,West Bengal,91347736,88752,1029
5,Madhya Pradesh,72597565,308245,236
6,Tamil Nadu,72138958,130058,555
7,Rajasthan,68621012,342239,201
8,Karnataka,61130704,191791,319
9,Gujarat,60383628,196024,308
10,Andhra Pradesh,49386799,162968,303
11,Odisha,41947358,155707,269
12,Telangana,35286757,114840,307
13,Kerala,33387677,38863,859
14,Jharkhand,32966238,79714,414
15,Assam,31169272,78438,397
16,Punjab,27704236,50362,550
17,Chattisgarh,25540196,135191,189
18,Haryana,25353081,44212,573
19,Jammu and Kashmir,12548926,222236,57
20,Uttarakhand,10116752,53483,189
21,Himachal Pradesh,6864602,55673,123
22,Tripura,3671032,10486,350
23,Meghalaya,2964007,22429,132
24,Manipur,2721756,22327,122
25,Nagaland,1980602,16579,119
26,Goa,1457723,3702,394
27,Arunachal Pradesh,1382611,21000,50
28,Mizoram,1091014,21081,52
29,Sikkim,607688,7096,86
